iter	Passed	Remaining
0	148	32563
1	157	17150
2	164	11905
3	172	9321
4	179	7709
5	190	6792
6	196	5975
7	205	5437
8	211	4954
9	220	4622
10	226	4303
11	232	4031
12	238	3798
13	244	3604
14	251	3441
15	258	3297
16	265	3169
17	272	3053
18	280	2970
19	287	2874
20	293	2780
21	300	2707
22	307	2631
23	314	2567
24	320	2499
25	330	2464
26	337	2413
27	345	2370
28	352	2318
29	358	2269
30	364	2221
31	370	2176
32	377	2137
33	383	2098
34	390	2065
35	398	2035
36	404	2000
37	410	1967
38	416	1933
39	422	1902
40	428	1870
41	433	1839
42	439	1810
43	447	1788
44	454	1766
45	460	1741
46	467	1721
47	473	1695
48	479	1671
49	484	1646
50	489	1623
51	495	1600
52	500	1578
53	506	1557
54	513	1541
55	519	1520
56	524	1500
57	530	1481
58	535	1461
59	540	1440
60	546	1423
61	551	1405
62	557	1388
63	563	1372
64	568	1356
65	575	1343
66	581	1327
67	586	1310
68	592	1297
69	598	1282
70	605	1270
71	611	1256
72	616	1241
73	621	1225
74	627	1212
75	632	1197
76	636	1182
77	643	1171
78	648	1156
79	652	1142
80	658	1130
81	663	1117
82	669	1104
83	674	1092
84	679	1079
85	685	1067
86	690	1055
87	696	1044
88	702	1033
89	709	1024
90	715	1013
91	722	1004
92	728	994
93	734	984
94	739	973
95	745	963
96	751	953
97	757	943
98	763	933
99	771	926
100	779	918
101	786	909
102	792	900
103	798	890
104	805	882
105	812	873
106	818	864
107	827	857
108	837	853
109	845	845
110	853	837
111	859	828
112	867	821
113	874	812
114	880	803
115	887	795
116	893	786
117	900	778
118	906	769
119	912	760
120	917	750
121	923	741
122	929	733
123	935	724
124	941	715
125	948	707
126	954	699
127	959	689
128	966	682
129	973	673
130	982	667
131	988	658
132	994	650
133	1001	642
134	1007	634
135	1013	625
136	1018	617
137	1024	608
138	1030	600
139	1035	591
140	1041	583
141	1047	575
142	1053	567
143	1059	559
144	1065	551
145	1071	543
146	1078	535
147	1084	527
148	1092	520
149	1099	512
150	1105	505
151	1114	498
152	1121	490
153	1128	483
154	1133	475
155	1140	467
156	1146	460
157	1152	452
158	1158	444
159	1164	436
160	1171	429
161	1177	421
162	1182	413
163	1187	405
164	1193	397
165	1198	389
166	1204	382
167	1209	374
168	1214	366
169	1222	359
170	1227	351
171	1233	344
172	1241	337
173	1248	330
174	1254	322
175	1260	315
176	1265	307
177	1271	300
178	1277	292
179	1282	284
180	1288	277
181	1293	270
182	1300	262
183	1305	255
184	1311	248
185	1318	240
186	1323	233
187	1329	226
188	1335	219
189	1341	211
190	1346	204
191	1352	197
192	1357	189
193	1365	183
194	1371	175
195	1376	168
196	1383	161
197	1389	154
198	1396	147
199	1402	140
200	1408	133
201	1414	126
202	1419	118
203	1425	111
204	1430	104
205	1436	97
206	1442	90
207	1448	83
208	1453	76
209	1460	69
210	1466	62
211	1471	55
212	1478	48
213	1483	41
214	1488	34
215	1494	27
216	1499	20
217	1505	13
218	1512	6
219	1517	0
