feature,importance
moving_average_20,0.46386933
rolling_volatility_20,0.3843762
moving_average_5,0.36894476
market_correlation,0.33947513
10_day_return,0.3263024
rolling_volatility_5,0.30822092
rolling_volatility_10,0.22376986
max_drawdown_20,0.19629443
daily_return,0.161316
volume_change,0.15012893
volatility_proxy,0.12575378
beta_proxy,0.1240304
20_day_return,0.11460385
5_day_return,0.08682072
moving_average_ratio,0.078897476
yield_change,0.07050348
portfolio_return,0.045554712
momentum_10,0.03248526
momentum_20,0.024514362
momentum_5,0.015234846
